locus_id	sample_id	group	n_overlapping_peaks	peak_present	covered_bp	mean_RPGC
77	546	AML	1	TRUE	501	11.718957607855577
77	566	AML	0	FALSE	501	11.302753566505904
77	576	PBMC	1	TRUE	501	5.398186293428767
77	629	AML	0	FALSE	501	3.2041766572141364
77	673	PBMC	0	FALSE	501	4.558217322279117
77	773	AML	1	TRUE	501	12.24031464449184
77	990	AML	1	TRUE	501	10.22124479535573
78	018	AML	1	TRUE	501	5.503131263032407
78	027	AML	0	FALSE	501	3.006373000002193
78	103	PBMC	1	TRUE	501	6.3713244469817765
78	1360	AML	0	FALSE	501	5.2774042355086275
78	168	AML	0	FALSE	501	3.363905238534162
78	1916	AML	0	FALSE	501	2.626752339437336
78	260	AML	0	FALSE	501	1.9094877528573224
78	270	AML	0	FALSE	501	1.6931964194703244
78	472	AML	0	FALSE	501	3.705528218113258
78	546	AML	2	TRUE	501	8.058247362068313
78	566	AML	0	FALSE	501	8.525445805814213
78	576	PBMC	2	TRUE	501	13.134409636080623
78	629	AML	0	FALSE	501	4.718438732409906
78	673	PBMC	0	FALSE	501	3.2630097333066717
78	773	AML	1	TRUE	501	15.766456628749946
78	990	AML	1	TRUE	501	15.12594134698133
79	018	AML	0	FALSE	501	0
79	027	AML	0	FALSE	501	0.7351121678799688
79	103	PBMC	0	FALSE	501	1.3094877958773614
79	1360	AML	0	FALSE	501	1.4824435213606753
79	168	AML	0	FALSE	501	0.3750019872973779
79	1916	AML	0	FALSE	501	0.5029032789542528
79	260	AML	0	FALSE	501	0.3176100211229153
79	270	AML	1	TRUE	501	3.187680606118695
79	472	AML	0	FALSE	501	2.804756441991962
79	546	AML	0	FALSE	501	0.2853852379583789
79	566	AML	0	FALSE	501	4.425214508574404
79	576	PBMC	0	FALSE	501	1.8718360122330413
79	629	AML	0	FALSE	501	1.0781541689189371
79	673	PBMC	0	FALSE	501	2.468601627978022
79	773	AML	0	FALSE	501	0.8333627225872048
79	990	AML	0	FALSE	501	0.5525008171142456
80	018	AML	0	FALSE	501	0
80	027	AML	0	FALSE	501	1.9844699791091645
80	103	PBMC	0	FALSE	501	2.6512448171417633
80	1360	AML	0	FALSE	501	0.8570724925595129
80	168	AML	0	FALSE	501	0.8097257880631559
80	1916	AML	0	FALSE	501	0.9712724271648658
80	260	AML	0	FALSE	501	0.4209289436568757
80	270	AML	0	FALSE	501	1.987125716523496
80	472	AML	0	FALSE	501	1.2398847298707791
80	546	AML	0	FALSE	501	0.46958843700424163
80	566	AML	0	FALSE	501	1.4589365751681451
80	576	PBMC	0	FALSE	501	2.040090864527963
80	629	AML	0	FALSE	501	1.3355786146042115
80	673	PBMC	1	TRUE	501	3.2317732636800067
80	773	AML	0	FALSE	501	0.5298838120496677
80	990	AML	0	FALSE	501	1.657500031465542
81	018	AML	0	FALSE	501	0
81	027	AML	0	FALSE	501	1.450443286857681
81	103	PBMC	0	FALSE	501	5.020153432549117
81	1360	AML	0	FALSE	501	2.7421809389681635
81	168	AML	0	FALSE	501	1.5638964290390471
81	1916	AML	0	FALSE	501	0.7338502901994778
81	260	AML	0	FALSE	501	1.683716374243091
81	270	AML	0	FALSE	501	3.055206298828125
81	472	AML	0	FALSE	501	1.1974959625693375
81	546	AML	0	FALSE	501	4.4468280112672
81	566	AML	0	FALSE	501	3.4595026194216487
81	576	PBMC	1	TRUE	501	10.684202872826429
81	629	AML	0	FALSE	501	4.152104935722199
81	673	PBMC	0	FALSE	501	3.21303328211436
81	773	AML	1	TRUE	501	9.82212291315882
81	990	AML	0	FALSE	501	6.095083884136406
82	018	AML	1	TRUE	501	7.20618101984203
82	027	AML	0	FALSE	501	0.8999335251882404
82	103	PBMC	0	FALSE	501	2.178000087509612
82	1360	AML	0	FALSE	501	3.5745086186898205
82	168	AML	0	FALSE	501	1.991676611338785
82	1916	AML	0	FALSE	501	0.423043101609586
82	260	AML	0	FALSE	501	4.259040305238522
82	270	AML	0	FALSE	501	1.3495880800806834
82	472	AML	0	FALSE	501	4.871232352808802
82	546	AML	1	TRUE	501	11.119650071728492
82	566	AML	0	FALSE	501	5.623709714817192
82	576	PBMC	0	FALSE	501	7.964072359774165
82	629	AML	0	FALSE	501	2.7983551834395786
82	673	PBMC	0	FALSE	501	3.254678980319086
82	773	AML	0	FALSE	501	6.112934068291487
82	990	AML	0	FALSE	501	7.66217059384801
83	018	AML	0	FALSE	501	0.8361949896860027
83	027	AML	0	FALSE	501	2.1459962979048313
83	103	PBMC	1	TRUE	501	6.577023251089983
83	1360	AML	0	FALSE	501	3.1965862821914004
83	168	AML	0	FALSE	501	2.83751427437255
83	1916	AML	0	FALSE	501	3.0951215487992214
83	260	AML	0	FALSE	501	0.5663407605565237
83	270	AML	0	FALSE	501	1.407548681704584
83	472	AML	0	FALSE	501	3.175662203939137
83	546	AML	1	TRUE	501	9.212760420854458
83	566	AML	1	TRUE	501	8.343379705965877
83	576	PBMC	1	TRUE	501	18.045349899642243
83	629	AML	0	FALSE	501	6.314467945022735
83	673	PBMC	0	FALSE	501	5.29015545740337
83	773	AML	0	FALSE	501	12.418549530044524
83	990	AML	1	TRUE	501	9.781755908520635
84	018	AML	1	TRUE	501	4.969020115877102
84	027	AML	0	FALSE	501	1.8031639924306355
84	103	PBMC	1	TRUE	501	5.727334859128484
84	1360	AML	0	FALSE	501	2.7106882486038817
84	168	AML	0	FALSE	501	2.48751227346485
84	1916	AML	0	FALSE	501	3.436146094651517
84	260	AML	0	FALSE	501	3.1225298350442667
84	270	AML	0	FALSE	501	1.9084679523627914
84	472	AML	0	FALSE	501	4.348431888454688
84	546	AML	1	TRUE	501	11.957645857881404
84	566	AML	1	TRUE	501	8.31111207360517
84	576	PBMC	2	TRUE	501	12.57356038255368
84	629	AML	0	FALSE	501	5.49071208017315
84	673	PBMC	0	FALSE	501	4.643592896337757
84	773	AML	1	TRUE	501	14.191249708453576
84	990	AML	1	TRUE	501	10.160977754288329
85	018	AML	0	FALSE	501	0
85	027	AML	0	FALSE	501	2.3602664218453353
85	103	PBMC	0	FALSE	501	2.488566608486061
85	1360	AML	0	FALSE	501	2.9626360275074393
85	168	AML	0	FALSE	501	2.7375137658414253
85	1916	AML	0	FALSE	501	2.678553593610813
85	260	AML	0	FALSE	501	1.6454495070223323
85	270	AML	0	FALSE	501	2.2769163325875104
85	472	AML	0	FALSE	501	3.133272525793064
85	546	AML	0	FALSE	501	5.46383580476224
85	566	AML	0	FALSE	501	4.466700288349997
85	576	PBMC	0	FALSE	501	3.775224392047661
85	629	AML	1	TRUE	501	9.140075525599801
85	673	PBMC	1	TRUE	501	3.632624067470223
85	773	AML	0	FALSE	501	4.181265037216826
85	990	AML	1	TRUE	501	6.901227890136475
86	018	AML	0	FALSE	501	2.0795441125919245
86	027	AML	0	FALSE	501	2.6437614711220867
86	103	PBMC	1	TRUE	501	6.801547096161071
86	1360	AML	0	FALSE	501	2.6611980038012812
86	168	AML	0	FALSE	501	3.0944585024477718
86	1916	AML	0	FALSE	501	2.1044236350202277
86	260	AML	0	FALSE	501	1.2627868309706272
86	270	AML	0	FALSE	501	1.7263155012073632
86	472	AML	0	FALSE	501	2.2148380101083993
86	546	AML	0	FALSE	501	3.258585660519476
86	566	AML	0	FALSE	501	4.547368471256036
86	576	PBMC	1	TRUE	501	17.169021007781495
86	629	AML	0	FALSE	501	1.9988251374867148
86	673	PBMC	1	TRUE	501	4.786232252558786
86	773	AML	0	FALSE	501	4.6966974963684995
86	990	AML	0	FALSE	501	4.1588224569956465
87	018	AML	0	FALSE	501	4.8026570336309495
87	027	AML	0	FALSE	501	0.5208413205936759
